,Age,Gender,Annual_Income,City,Purchase_Frequency,Satisfaction_Rating,Purchase_Intensity,Customer_Segment,Avg_Spend_per_Visit,Has_Long_Membership,Churn(target),Spending_Efficiency,Engagement_Ratio,Loyalty_Duration_Interaction
0,-0.032025807921108006,1,1.1947413384786378,3,1.5124332787843282,0.6820305863270397,-1.2503807110740888,0,-1.317770463473857,1,0,-0.9971246082400049,-0.050459403294220585,-1.265788256765848
1,-1.343616301554307,0,-0.0003551809329385956,3,0.3736769406277048,1.4023467709242419,-0.6685191939199406,3,-1.1630814030345837,0,0,-0.7217114352587415,0.6450324807417654,-0.9922614680397476
2,-0.8603987512683915,0,-0.5045305937311586,4,0.3736769406277048,-0.038285598270162514,0.46195461083668987,1,-0.9750723052153376,0,0,0.031150016857463752,-0.635403097391437,-1.265788256765848
3,-1.5507095373911277,3,0.1187209221095576,4,0.5634696636538087,-0.7586017828673647,-0.7959745738679921,3,-1.0828214961789724,1,0,-0.2958722117298193,0.3500081099221971,1.3985220552587498
5,0.7273160568139019,1,0.28932341269342926,4,-0.7650793975289186,1.4023467709242419,-0.7848914973507701,3,-0.3826186692252644,1,0,-0.5967651272562632,0.1326179823229643,2.704157329083452
6,0.10603634930343925,1,1.7112639042433448,3,-1.7140430126594381,1.4023467709242419,-1.1949653284879793,1,-0.8114392657347157,1,0,-0.6889738839897253,0.8914127535578934,1.166458629051599
7,1.0034403712629965,1,0.5243189032950804,3,-0.0059085054245030105,-0.038285598270162514,1.2599361200766643,1,1.0910404201887964,1,0,0.006820699787690894,-0.6865307783898955,0.6826012500872926
8,-0.584274436819297,3,-1.5727990758753245,3,0.7532623866799126,1.4023467709242419,-0.09774075328301449,3,0.1369806470811713,1,0,0.7121243717142139,0.5736301506737197,1.0112996721559275
9,-0.7223365940438443,0,-1.4467702070847095,3,-0.19570122845060692,-1.478917967464567,-0.8513899564541014,2,0.1247011786533873,0,0,1.2730680944136408,1.8975266398515618,-0.9500854936413163
10,1.2105336070998174,3,-1.294928196493607,2,-0.5752866745028147,-1.478917967464567,-0.9705330290142365,2,-1.0159786092749565,0,0,-0.3683019056430201,0.5571091435173354,0.46226510177033114
11,0.5892538995893546,3,1.6359622545173098,1,-0.0059085054245030105,0.6820305863270397,0.3899146134747477,2,1.1454448737055578,0,1,-0.4864888311307466,-0.7687266812475468,-1.265788256765848
12,-0.3081501223702025,1,0.6809759039588744,0,-0.0059085054245030105,0.6820305863270397,1.271019196593886,3,1.4801509885760216,1,0,-0.34555674865454195,-0.7017748644824252,0.6863497253755819
13,1.2105336070998174,1,-1.3397016104060624,1,1.3226405557582244,1.4023467709242419,1.478826881291796,2,0.16823450915109592,0,0,1.3306302360698379,-1.2256586287706455,-1.0251849789788905
15,1.279564685712091,3,-0.3197029042603311,1,-1.7140430126594381,-0.038285598270162514,-1.1534037915483975,1,-0.1623458765624796,0,0,-0.07331343842442058,-0.7033241552802375,-0.1004710229463718
16,0.5202228209770811,3,1.2742586019197677,3,0.9430551097060165,-0.7586017828673647,1.484368419550407,2,0.1247011786533873,1,1,-0.375056879880661,-0.8972704215234756,1.86691376971772
17,-0.584274436819297,0,0.08499601238879693,3,-0.0059085054245030105,0.6820305863270397,-0.10882382980023632,0,-0.4227053936969725,1,0,-0.38619867103732264,-0.2061006662563515,1.1122497742650448
18,0.8653782140384492,1,-1.6822052403485979,3,1.3226405557582244,0.6820305863270397,2.6093006860484267,2,-0.42957704453861145,0,0,4.657911450778811,-0.22190293172086947,0.2123918892431738
19,-0.7223365940438443,3,-1.5092052443343404,1,1.5124332787843282,-1.478917967464567,2.54003145781579,0,1.434756910997043,0,0,2.843038480811998,0.8504008362172619,-0.06855853054793865
20,-0.37718120098247615,0,0.05031210049588193,2,-0.0059085054245030105,-0.038285598270162514,1.2488530435594425,1,1.008269240483528,0,0,0.341843564204582,-0.002479496905553806,-0.47360584494915753
21,0.6582849782016282,1,1.2129823589614899,5,-1.7140430126594381,-0.038285598270162514,-1.1921945593586738,1,0.25419344347276235,1,0,-0.6323713668915811,-0.5924929513258393,0.4183764599602664
22,-1.4126473801665806,2,0.7157996703352285,2,1.3226405557582244,0.6820305863270397,-1.1589453298070083,3,-1.2768288775532035,0,1,-0.9729906746669863,-0.9608952088519394,2.248623689234478
23,0.9344092926507228,1,-1.4821933498186601,2,1.702226001810432,0.6820305863270397,1.9110668654634493,0,0.3818392942361297,1,0,1.9208331156287515,-0.8361479431876413,0.15094383521347385
24,-0.6533055154315707,3,-0.305337850889936,1,0.5634696636538087,-1.478917967464567,0.6448253733708508,3,1.5175739638489636,0,0,-0.06308283332105749,0.10718726534252308,1.0335446898698524
